epoch,bleu_1,bleu_2,bleu_3,bleu_4
1.0,0.7440107949876619,0.6483367176756806,0.5656924475699152,0.11506125536425105
2.0,0.7760456998451251,0.6840113709329703,0.6043272295913638,0.13710659012867318
3.0,0.7962470199627185,0.7025066927364733,0.6217150569564711,0.14196618629604998
4.0,0.8022090272567838,0.708114220971943,0.6261633753821774,0.14011698789079438
5.0,0.7986420096722896,0.7065980021376888,0.6261022319893951,0.14744480865063678
6.0,0.805218135809652,0.7183451404592948,0.6406681321717002,0.16035765154050793
7.0,0.7983284188472467,0.7110026270872876,0.6341808274955212,0.1597653627954453
8.0,0.8135903081673689,0.7239597687461256,0.6443060611067776,0.15790909323453908
9.0,0.8146739213244323,0.7249524089410301,0.6470720900762733,0.16060840491275846
10.0,0.8084285230482818,0.7221429575825797,0.6457760518412095,0.16606886002094864
11.0,0.8083843095156696,0.7217884065941212,0.6451059955190173,0.16583970631412065
12.0,0.820717361812672,0.7325513903568827,0.6550019726631132,0.16641950231732586
13.0,0.8025856994145045,0.7188720980203858,0.643772459879158,0.17012177396862166
14.0,0.8075933682131881,0.7216603072034972,0.6454605025384754,0.1680375253933751
15.0,0.8137406286801645,0.7280893619979946,0.6518762990094359,0.17193444349922904
16.0,0.8156992228333381,0.7298173650690247,0.6533730063890322,0.170199438120667
17.0,0.8202393059786273,0.7322853600087293,0.6537942547756825,0.16628498562709987
18.0,0.8185689939027017,0.7314358510687103,0.6541368788288446,0.16848037464191826
19.0,0.825051434329239,0.7381383246984375,0.6612762037360481,0.1716374055669238
